직군 정보,company_kind,mid_company_kind,big_company_kind
,남자용겉옷소매업,판매,판매∙유통
,사업시설유지관리서비스업,시설관리·경비·용역,서비스업
,전문직별공사업,건설·건축·토목·시공,건설업
,사업시설유지관리서비스업,시설관리·경비·용역,서비스업
,승용차여객용자동차제조업,기계·설비·자동차,제조·화학
,자동차용엔진제조업,기계·설비·자동차,제조·화학
,전자저항기제조업,전기·전자·제어,제조·화학
,외항화물운송업,운송·운수·물류,판매∙유통
,외항화물운송업,운송·운수·물류,판매∙유통
,디스플레이장치용유리제조업,반도체·광학·LCD,제조·화학
,연료용가스제조배관공급업,기계·설비·자동차,제조·화학
,비주거용부동산관리업,부동산·임대·중개,건설업
,연료용가스제조배관공급업,기계·설비·자동차,제조·화학
,연료용가스제조배관공급업,기계·설비·자동차,제조·화학
,지상파방송업,방송사·케이블,미디어·디자인
,부동산업,부동산·임대·중개,건설업
,비주거용건물임대업,부동산·임대·중개,건설업
,부동산중개대리업,부동산·임대·중개,건설업
,구조용금속제품제조업,금속·재료·철강·요업,제조·화학
,주거용건물개발공급업,건설·건축·토목·시공,건설업
,방사선장치제조업,석유·화학·에너지,제조·화학
,의약품제조업,제약·보건·바이오,제조·화학
,의료용품의약관련제품제조업,제약·보건·바이오,의료·제약·복지
,지주회사,기타금융,은행·금융업
,산업용기계장비도매업,유통·무역·상사,판매∙유통
,컴퓨터주변장치소프트웨어도매업,유통·무역·상사,판매∙유통
,부동산임대업,부동산·임대·중개,건설업
,바이오연료혼합물제조업,석유·화학·에너지,제조·화학
,절연선케이블제조업,전기·전자·제어,제조·화학
,비주거용건물개발공급업,건설·건축·토목·시공,건설업
,석유화학계기초화학물질제조업,석유·화학·에너지,제조·화학
,아파트건설업,건설·건축·토목·시공,건설업
,아파트건설업,건설·건축·토목·시공,건설업
,유선방송업,방송사·케이블,미디어·디자인
,목재건축자재중개업,부동산·임대·중개,건설업
,아파트건설업,건설·건축·토목·시공,건설업
,배합사료제조업,기타제조업,제조·화학
,완제의약품제조업,제약·보건·바이오,의료·제약·복지
,가방가죽제품소매업,판매,판매∙유통
,지상파방송업,방송사·케이블,미디어·디자인
,스포츠클럽운영업,레저·스포츠·여가,서비스업
,호텔업,호텔·여행·항공,서비스업
,하수처리업,환경·설비,건설업
,음악오디오물출판업,영화·배급·음악,미디어·디자인
,외항화물운송업,운송·운수·물류,판매∙유통
,내화요업제품제조업,금속·재료·철강·요업,제조·화학
,가공공작기계제조업,기계·설비·자동차,제조·화학
,화장품도매업,유통·무역·상사,판매∙유통
,비주거용부동산관리업,부동산·임대·중개,건설업
,포털인터넷정보매개서비스업,웹에이젼시,IT·웹·통신
,아파트건설업,건설·건축·토목·시공,건설업
,아파트건설업,건설·건축·토목·시공,건설업
,연료용가스제조배관공급업,기계·설비·자동차,제조·화학
,시내버스운송업,운송·운수·물류,판매∙유통
,자동차신품판매업,판매,판매∙유통
,신문발행업,출판·인쇄·사진,미디어·디자인
,지반조성건설업,건설·건축·토목·시공,건설업
,종합건설업,건설·건축·토목·시공,건설업
,아파트건설업,건설·건축·토목·시공,건설업
,아파트건설업,건설·건축·토목·시공,건설업
,아파트건설업,건설·건축·토목·시공,건설업
,아파트건설업,건설·건축·토목·시공,건설업
,주류도매업,유통·무역·상사,판매∙유통
,레미콘제조업,기계·설비·자동차,제조·화학
,전기용기계장비관련기자재도매업,유통·무역·상사,판매∙유통
,의료기기도매업,유통·무역·상사,판매∙유통
,주거용건물건설업,건설·건축·토목·시공,건설업
,일반전기공사업,환경·설비,건설업
,바이오연료혼합물제조업,석유·화학·에너지,제조·화학
,비철금속제련정련합금제조업,기계·설비·자동차,제조·화학
,액체연료관련제품도매업,유통·무역·상사,판매∙유통
,증기냉온수공기조절공급업,기계·설비·자동차,제조·화학
,화력발전업,석유·화학·에너지,제조·화학
,주차장운영업,시설관리·경비·용역,서비스업
,특수목적용기계제조업,기계·설비·자동차,제조·화학
,보험대리중개업,증권·보험·카드,은행·금융업
,부동산개발공급업,건설·건축·토목·시공,건설업
,자동차신품부품제조업,기계·설비·자동차,제조·화학
,자동차신품판매업,판매,판매∙유통
,일반기계장비수리업,AS·카센터·주유,서비스업
,핵반응기증기보일러제조업,석유·화학·에너지,제조·화학
,방사선장치제조업,석유·화학·에너지,제조·화학
,강관제조업,금속·재료·철강·요업,제조·화학
,비주거용건물임대업,부동산·임대·중개,건설업
,골프장운영업,레저·스포츠·여가,서비스업
,폴리스티렌발포성형제품제조업,석유·화학·에너지,제조·화학
,기초화학물질제조업,석유·화학·에너지,제조·화학
,합성수지플라스틱물질제조업,석유·화학·에너지,제조·화학
,부동산업,부동산·임대·중개,건설업
,도로건설업,건설·건축·토목·시공,건설업
,종합건설업,건설·건축·토목·시공,건설업
,태양력발전업,석유·화학·에너지,제조·화학
,외항화물운송업,운송·운수·물류,판매∙유통
,도로관련시설운영업,도로·항만,건설업
,도로관련시설운영업,도로·항만,건설업
,부동산개발공급업,건설·건축·토목·시공,건설업
,사업무형재산권중개업,법률·법무·특허,기관∙협회
,골프장운영업,레저·스포츠·여가,서비스업
,일반화물자동차운송업,운송·운수·물류,판매∙유통
,주거용건물개발공급업,건설·건축·토목·시공,건설업
,금융투자업,은행·금융·저축,은행·금융업
,비주거용건물개발공급업,건설·건축·토목·시공,건설업
,부동산개발공급업,건설·건축·토목·시공,건설업
,증기온수공기조절공급업,환경·설비,건설업
,육류가공업,식품가공·개발,제조·화학
,아파트건설업,건설·건축·토목·시공,건설업
,도시락류제조업,식품가공·개발,제조·화학
,토목시설물건설업,건설·건축·토목·시공,건설업
,부동산임대업,부동산·임대·중개,건설업
,액체여과기제조업,기계·설비·자동차,제조·화학
,편조의복제조업,섬유·의류·패션,제조·화학
,지상파방송업,방송사·케이블,미디어·디자인
,부동산업,부동산·임대·중개,건설업
,지상파방송업,방송사·케이블,미디어·디자인
,주거용건물임대업,부동산·임대·중개,건설업
,연료용가스제조배관공급업,기계·설비·자동차,제조·화학
,지정폐기물처리업,환경,제조·화학
,엔지니어링서비스업,연구소·컨설팅·조사,기관∙협회
,자동차용신품조향장치현가장치제조업,기계·설비·자동차,제조·화학
,사무용기계장비제조업,기계·설비·자동차,제조·화학
,안경사진장비광학용품도매업,유통·무역·상사,판매∙유통
,선철주물주조업,금속·재료·철강·요업,제조·화학
,의약품의료용품화장품도매업,유통·무역·상사,판매∙유통
,종이원지판지종이상자도매업,유통·무역·상사,판매∙유통
,전자코일변성기전자유도자제조업,전기·전자·제어,제조·화학
,영화비디오물방송프로그램배급업,영화·배급·음악,미디어·디자인
,신용조사추심대행업,은행·금융·저축,은행·금융업
,전자코일변성기전자유도자제조업,전기·전자·제어,제조·화학
,지주회사,기타금융,은행·금융업
,비주거용건물임대업,부동산·임대·중개,건설업
,전기업,전기·전자·제어,제조·화학
,자동차부품판매업,판매,판매∙유통
,자동차부품판매업,판매,판매∙유통
,손해사정업,은행·금융·저축,은행·금융업
,상품중개업,유통·무역·상사,판매∙유통
,외항화물운송업,운송·운수·물류,판매∙유통
,지정폐기물처리업,환경,제조·화학
,모터사이클제조업,기계·설비·자동차,제조·화학
,부동산개발공급업,건설·건축·토목·시공,건설업
,사업지원서비스업,기타서비스업,서비스업
,액체연료관련제품도매업,유통·무역·상사,판매∙유통
,건물산업설비청소방제서비스업,환경·설비,건설업
,일반창고업,운송·운수·물류,판매∙유통
,일반용도료관련제품제조업,석유·화학·에너지,제조·화학
,외항화물운송업,운송·운수·물류,판매∙유통
,자동차부품제조업,기계·설비·자동차,제조·화학
,운송장비용주유소운영업,AS·카센터·주유,서비스업
,임시일용인력공급업,시설관리·경비·용역,서비스업
,신발제조업,섬유·의류·패션,제조·화학
,사업시설유지관리서비스업,시설관리·경비·용역,서비스업
,신용조사추심대행업,은행·금융·저축,은행·금융업
,절연선케이블제조업,전기·전자·제어,제조·화학
,컴퓨터프로그래밍시스템통합관리업,솔루션·SI·ERP·CRM,IT·웹·통신
,전자상거래소매중개업,유통·무역·상사,판매∙유통
,보안시스템서비스업,정보보안·백신,IT·웹·통신
,무선위성통신업,네트워크·통신·모바일,IT·웹·통신
,통신재판매업,판매,판매∙유통
,의약용화합물항생물질제조업,제약·보건·바이오,제조·화학
,포장용플라스틱성형용기제조업,석유·화학·에너지,제조·화학
,전자카드제조업,전기·전자·제어,제조·화학
,디스플레이장치용유리제조업,반도체·광학·LCD,제조·화학
,지주회사,기타금융,은행·금융업
,철도여객운송업,운송·운수·물류,판매∙유통
,식료품위주종합소매업,판매,판매∙유통
,철도궤도전문공사업,건설·건축·토목·시공,건설업
,비철금속제련정련합금제조업,기계·설비·자동차,제조·화학
,목재건축자재중개업,부동산·임대·중개,건설업
,태양력발전업,석유·화학·에너지,제조·화학
,부동산업,부동산·임대·중개,건설업
,판유리가공품제조업,식품가공·개발,제조·화학
,전자상거래소매중개업,유통·무역·상사,판매∙유통
,일반창고업,운송·운수·물류,판매∙유통
,의약품도매업,유통·무역·상사,판매∙유통
,분류안된비금속광물제품제조업,금속·재료·철강·요업,제조·화학
,화장품제조업,화장품·뷰티,제조·화학
,식료품제조업,식품가공·개발,제조·화학
,지주회사,기타금융,은행·금융업
,화학제품제조업,석유·화학·에너지,제조·화학
,아파트건설업,건설·건축·토목·시공,건설업
,항만수로유사구조물건설업,건설·건축·토목·시공,건설업
,도로건설업,건설·건축·토목·시공,건설업
,자동차용전용신품부품판매업,판매,판매∙유통
,항공기용부품제조업,조선·항공·우주,제조·화학
,화학섬유제조업,섬유·의류·패션,제조·화학
,합성수지플라스틱물질제조업,석유·화학·에너지,제조·화학
,컴퓨터시스템통합자문구축서비스업,IT컨설팅,IT·웹·통신
,기초의약물질생물학적제제제조업,석유·화학·에너지,제조·화학
,발광다이오드제조업,반도체·광학·LCD,제조·화학
,엔지니어링서비스업,연구소·컨설팅·조사,기관∙협회
,사업시설유지관리서비스업,시설관리·경비·용역,서비스업
,자동차신품판매업,판매,판매∙유통
,중고자동차판매업,판매,판매∙유통
,환경설비건설업,환경·설비,건설업
,화학섬유제조업,섬유·의류·패션,제조·화학
,완제의약품제조업,제약·보건·바이오,의료·제약·복지
,합성수지플라스틱물질제조업,석유·화학·에너지,제조·화학
,부동산개발공급업,건설·건축·토목·시공,건설업
,지정폐기물처리업,환경,제조·화학
,연료용가스제조배관공급업,기계·설비·자동차,제조·화학
,개인서비스업,기타서비스업,서비스업
,비알코올음료제조업,식품가공·개발,제조·화학
,영화비디오물방송프로그램배급업,영화·배급·음악,미디어·디자인
,자동차엔진용신품부품제조업,기계·설비·자동차,제조·화학
,고무의류위생용비경화고무제품제조업,석유·화학·에너지,제조·화학
,기초의약물질생물학적제제제조업,석유·화학·에너지,제조·화학
,완제의약품제조업,제약·보건·바이오,의료·제약·복지
,주방용전기기기제조업,생활용품·소비재·사무,제조·화학
,통신판매업,판매,판매∙유통
,지주회사,기타금융,은행·금융업
,산업용기계장비도매업,유통·무역·상사,판매∙유통
,반도체제조용기계제조업,반도체·광학·LCD,제조·화학
,전자감지장치제조업,전기·전자·제어,제조·화학
,금속제품도매업,유통·무역·상사,판매∙유통
,자동차신품타이어튜브판매업,판매,판매∙유통
,전기회로개폐보호장치제조업,전기·전자·제어,제조·화학
,금융투자업,은행·금융·저축,은행·금융업
,화물자동차특수목적용자동차제조업,기계·설비·자동차,제조·화학
,태양력발전업,석유·화학·에너지,제조·화학
,과실채소가공저장처리업,식품가공·개발,제조·화학
,산업용가스제조업,석유·화학·에너지,제조·화학
,합성섬유제조업,섬유·의류·패션,제조·화학
,신발제조업,섬유·의류·패션,제조·화학
,기계장비도매업,유통·무역·상사,판매∙유통
,완제의약품제조업,제약·보건·바이오,의료·제약·복지
,골판지가공제품제조업,가구·목재·제지,제조·화학
,태양력발전업,석유·화학·에너지,제조·화학
,태양력발전업,석유·화학·에너지,제조·화학
,골프장운영업,레저·스포츠·여가,서비스업
,골판지제조업,가구·목재·제지,제조·화학
,담배제품제조업,식품가공·개발,제조·화학
,발전업,석유·화학·에너지,제조·화학
,자동차신품부품제조업,기계·설비·자동차,제조·화학
,보관창고업,운송·운수·물류,판매∙유통
,주거용건물개발공급업,건설·건축·토목·시공,건설업
,의약품의료용품화장품도매업,유통·무역·상사,판매∙유통
,봉제의복제조업,섬유·의류·패션,제조·화학
,밸브유사장치제조업,기타제조업,제조·화학
,전자감지장치제조업,전기·전자·제어,제조·화학
,응용소프트웨어개발공급업,솔루션·SI·ERP·CRM,IT·웹·통신
,커피전문점,외식업·식음료,서비스업
,비주거용부동산관리업,부동산·임대·중개,건설업
,자동차차체용신품부품제조업,기계·설비·자동차,제조·화학
,분류안된금융업,은행·금융·저축,은행·금융업
,승강기제조업,기계·설비·자동차,제조·화학
,강관제조업,금속·재료·철강·요업,제조·화학
,섬유제품제조업의복제외,섬유·의류·패션,제조·화학
,아파트건설업,건설·건축·토목·시공,건설업
,부동산개발공급업,건설·건축·토목·시공,건설업
,금속류해체선별원료재생업,금속·재료·철강·요업,제조·화학
,컴퓨터프로그래밍시스템통합관리업,솔루션·SI·ERP·CRM,IT·웹·통신
,전기용기계장비관련기자재도매업,유통·무역·상사,판매∙유통
,가전제품부품도매업,유통·무역·상사,판매∙유통
,호텔업,호텔·여행·항공,서비스업
,화력발전업,석유·화학·에너지,제조·화학
,디스플레이장치용유리제조업,반도체·광학·LCD,제조·화학
,사무상업용공공기관용건물건설업,건설·건축·토목·시공,건설업
,밸브유사장치제조업,기타제조업,제조·화학
,부동산개발공급업,건설·건축·토목·시공,건설업
,봉제의복제조업,섬유·의류·패션,제조·화학
,외항화물운송업,운송·운수·물류,판매∙유통
,편조의복제조업,섬유·의류·패션,제조·화학
,부동산개발공급업,건설·건축·토목·시공,건설업
,수상운송업,운송·운수·물류,판매∙유통
,자동차엔진용신품부품제조업,기계·설비·자동차,제조·화학
,통관대리관련서비스업,호텔·여행·항공,서비스업
,모피가죽제조업,섬유·의류·패션,제조·화학
,발광다이오드제조업,반도체·광학·LCD,제조·화학
,외항화물운송업,운송·운수·물류,판매∙유통
,시내버스운송업,운송·운수·물류,판매∙유통
,태양력발전업,석유·화학·에너지,제조·화학
,부동산개발공급업,건설·건축·토목·시공,건설업
,전기업,전기·전자·제어,제조·화학
,백화점,판매,판매∙유통
,수상화물취급업,운송·운수·물류,판매∙유통
,디지털적층성형기계제조업,기계·설비·자동차,제조·화학
,자동차신품부품제조업,기계·설비·자동차,제조·화학
,고무패킹류제조업,석유·화학·에너지,제조·화학
,자동차용신품조향장치현가장치제조업,기계·설비·자동차,제조·화학
,자동차차체용신품부품제조업,기계·설비·자동차,제조·화학
,지주회사,기타금융,은행·금융업
,자동차신품판매업,판매,판매∙유통
,철강제조업,금속·재료·철강·요업,제조·화학
,가스제조배관공급업,환경·설비,건설업
,여신금융업,은행·금융·저축,은행·금융업
,원자력발전업,석유·화학·에너지,제조·화학
,해상운송업,운송·운수·물류,판매∙유통
,태양력발전업,석유·화학·에너지,제조·화학
,증기온수공기조절공급업,환경·설비,건설업
,부동산관련서비스업,부동산·임대·중개,건설업
,화력발전업,석유·화학·에너지,제조·화학
,하수폐수분뇨처리업,환경·설비,건설업
,화력발전업,석유·화학·에너지,제조·화학
,지상파방송업,방송사·케이블,미디어·디자인
,부동산개발공급업,건설·건축·토목·시공,건설업
,외항화물운송업,운송·운수·물류,판매∙유통
,외항여객운송업,운송·운수·물류,판매∙유통
,합성수지플라스틱물질제조업,석유·화학·에너지,제조·화학
,아파트건설업,건설·건축·토목·시공,건설업
,종합건설업,건설·건축·토목·시공,건설업
,부동산임대공급업,부동산·임대·중개,건설업
,아파트건설업,건설·건축·토목·시공,건설업
,식료품제조업,식품가공·개발,제조·화학
,주정제조업,석유·화학·에너지,제조·화학
,비철금속압연압출연신제품제조업,기계·설비·자동차,제조·화학
,열간압연압출제품제조업,금속·재료·철강·요업,제조·화학
,섬유직물의복액세서리소매업,판매,판매∙유통
,사무상업용건물건설업,건설·건축·토목·시공,건설업
,보험대리중개업,증권·보험·카드,은행·금융업
,산업용가스제조업,석유·화학·에너지,제조·화학
,금융업,은행·금융·저축,은행·금융업
,자동차용신품조향장치현가장치제조업,기계·설비·자동차,제조·화학
,지주회사,기타금융,은행·금융업
,사업지원서비스업,기타서비스업,서비스업
,소매업자동차제외,판매,판매∙유통
,반도체제조용기계제조업,반도체·광학·LCD,제조·화학
,전기장비제조업,전기·전자·제어,제조·화학
,금속열처리업,금속·재료·철강·요업,제조·화학
,엔지니어링서비스업,연구소·컨설팅·조사,기관∙협회
,보험대리중개업,증권·보험·카드,은행·금융업
,부동산업,부동산·임대·중개,건설업
,전자집적회로제조업,전기·전자·제어,제조·화학
,다이오드트랜지스터유사반도체소자제조업,반도체·광학·LCD,제조·화학
,금융업,은행·금융·저축,은행·금융업
,부동산개발공급업,건설·건축·토목·시공,건설업
,액정표시장치제조업,반도체·광학·LCD,제조·화학
,항공육상화물취급업,운송·운수·물류,판매∙유통
,특수목적용기계제조업,기계·설비·자동차,제조·화학
,공기조화장치제조업,환경,제조·화학
,일반기계장비수리업,AS·카센터·주유,서비스업
,태양력발전업,석유·화학·에너지,제조·화학
,소주제조업,식품가공·개발,제조·화학
,포장용유리용기제조업,금속·재료·철강·요업,제조·화학
,주정제조업,석유·화학·에너지,제조·화학
,생수생산업,식품가공·개발,제조·화학
,태양력발전업,석유·화학·에너지,제조·화학
,알루미늄제련정련합금제조업,금속·재료·철강·요업,제조·화학
,금속제품도매업,유통·무역·상사,판매∙유통
,주거용건물개발공급업,건설·건축·토목·시공,건설업
,육류가공업,식품가공·개발,제조·화학
,부동산관련서비스업,부동산·임대·중개,건설업
,전자축전기제조업,전기·전자·제어,제조·화학
,항공운송지원서비스업,운송·운수·물류,판매∙유통
,문화관광행정,호텔·여행·항공,서비스업
,경비경호서비스업,시설관리·경비·용역,서비스업
,신용조사추심대행업,은행·금융·저축,은행·금융업
,시멘트제조업,금속·재료·철강·요업,제조·화학
,원자력발전업,석유·화학·에너지,제조·화학
,일반건축자재도매업,유통·무역·상사,판매∙유통
,원자력발전업,석유·화학·에너지,제조·화학
,내화요업제품제조업,금속·재료·철강·요업,제조·화학
,완제의약품제조업,제약·보건·바이오,의료·제약·복지
,플라스틱접착처리제품제조업,석유·화학·에너지,제조·화학
,게임소프트웨어개발공급업,게임,IT·웹·통신
,자동차신품판매업,판매,판매∙유통
,석탄화학계화합물기초유기화학물질제조업,석유·화학·에너지,제조·화학
,합성수지플라스틱물질제조업,석유·화학·에너지,제조·화학
,인쇄잉크회화용물감제조업,생활용품·소비재·사무,제조·화학
,목재건축자재중개업,부동산·임대·중개,건설업
,전기공급제어장치제조업,전기·전자·제어,제조·화학
,과실류도매업,유통·무역·상사,판매∙유통
,항공운송지원서비스업,운송·운수·물류,판매∙유통
,원자력발전업,석유·화학·에너지,제조·화학
,산업용기계장비임대업,렌탈·임대,서비스업
,의약품도매업,유통·무역·상사,판매∙유통
,통관대리관련서비스업,호텔·여행·항공,서비스업
,영화관운영업,레저·스포츠·여가,서비스업
,전자부품제조업,전기·전자·제어,제조·화학
,전기용기계장비관련기자재도매업,유통·무역·상사,판매∙유통
,체인화편의점,유통·무역·상사,판매∙유통
,승강기제조업,기계·설비·자동차,제조·화학
,전기용기계장비관련기자재도매업,유통·무역·상사,판매∙유통
,석유화학계기초화학물질제조업,석유·화학·에너지,제조·화학
,완제의약품제조업,제약·보건·바이오,의료·제약·복지
,물류터미널운영업,유통·무역·상사,판매∙유통
,곡물도정업,식품가공·개발,제조·화학
,원자력발전업,석유·화학·에너지,제조·화학
,비금속광물제품제조업,금속·재료·철강·요업,제조·화학
,전자감지장치제조업,전기·전자·제어,제조·화학
,안전유리제조업,금속·재료·철강·요업,제조·화학
,비디오영상기기제조업,기계·설비·자동차,제조·화학
,합성수지플라스틱물질제조업,석유·화학·에너지,제조·화학
,원자력발전업,석유·화학·에너지,제조·화학
,윤활유그리스제조업,석유·화학·에너지,제조·화학
,전자응용절삭기계제조업,전기·전자·제어,제조·화학
,신용조사추심대행업,은행·금융·저축,은행·금융업
,기초무기화학물질제조업,석유·화학·에너지,제조·화학
,동물용의약품제조업,제약·보건·바이오,제조·화학
,문구용품회화용품사무용품도매업,유통·무역·상사,판매∙유통
,의약품도매업,유통·무역·상사,판매∙유통
,의약품도매업,유통·무역·상사,판매∙유통
,컴퓨터주변장치소프트웨어도매업,유통·무역·상사,판매∙유통
,정형내화요업제품제조업,금속·재료·철강·요업,제조·화학
,반도체제조용기계제조업,반도체·광학·LCD,제조·화학
,화학제품제조업,석유·화학·에너지,제조·화학
,전자부품제조업,전기·전자·제어,제조·화학
,생활용품도매업,유통·무역·상사,판매∙유통
,의료기기도매업,유통·무역·상사,판매∙유통
,호환성공구제조업,기타제조업,제조·화학
,전기용기계장비관련기자재도매업,유통·무역·상사,판매∙유통
,기기용자동측정제어장치제조업,기계·설비·자동차,제조·화학
,유압기기제조업,기계·설비·자동차,제조·화학
,기계장비중개업,렌탈·임대,서비스업
,구름베어링제조업,기계·설비·자동차,제조·화학
,기계장비도매업,유통·무역·상사,판매∙유통
,염료조제무기안료유연제착색제제조업,금속·재료·철강·요업,제조·화학
,자동차용신품조향장치현가장치제조업,기계·설비·자동차,제조·화학
,전기용기계장비관련기자재도매업,유통·무역·상사,판매∙유통
,플라스틱접착처리제품제조업,석유·화학·에너지,제조·화학
,자동차용금속압형제품제조업,기계·설비·자동차,제조·화학
